"fia","year","PLOT","ensemble"
75.9012873543451,2013,13,145.814910859305
112.273459043204,2013,25,134.308908033843
102.725476008686,2013,63,158.988671834767
170.716361029759,2013,65,184.229058428784
0,2013,78,61.5042377654187
96.9728948814839,2013,88,114.156856581746
78.1383415519901,2013,113,69.0702594927797
25.3003037178405,2013,121,10.3106518624879
0,2013,122,6.82270696638826
0,2013,145,12.8267448214575
0,2013,187,7.3160007860847
31.0757755305933,2013,219,64.6744601623658
0,2013,220,0.215102802992198
181.37746170797,2013,239,152.652636206229
161.989510262095,2013,249,165.987829639129
39.165248531789,2013,282,5.31444607693869
0,2013,295,8.65817895114112
0,2013,296,11.9249725741495
170.107513042156,2013,297,122.567403663032
29.7382563553093,2013,349,44.8517902025647
169.0566400345,2013,350,163.085387544563
79.5033297010305,2013,352,124.039370756124
0,2013,402,10.7000141239593
102.635972239519,2013,415,155.463658881888
13.7368483458228,2013,422,53.0783901500295
0,2013,427,1.0044064024386
0,2013,434,22.0007173533723
136.105060438848,2013,438,136.220310171364
163.475475319821,2013,441,147.985039748705
0,2013,458,41.6851703636939
91.244522626689,2013,460,142.575530021586
47.5536078327202,2013,480,40.505370488946
0,2013,506,3.28589602194311
227.722381825469,2013,507,181.2022495917
53.1858311448282,2013,530,134.26490747409
28.0822272910008,2013,536,51.2010042841325
83.4841383245779,2013,540,154.587369419371
0,2013,555,51.817581268832
17.874922330107,2013,564,35.0812830508475
94.9144664631925,2013,589,90.9365949195034
231.303444284866,2013,590,192.383654718853
266.993359638537,2013,620,179.890515669355
131.087721069442,2013,635,109.373437616929
72.140185023565,2013,655,96.9941366286622
189.33399468579,2013,708,122.675051755512
140.213020515833,2013,725,120.620478763926
0,2013,734,9.84873210381196
132.07407542,2013,756,156.620999690311
0,2013,821,23.6960008132303
0,2013,840,17.1173692430605
58.9627592146994,2013,848,82.1775061323624
0,2013,852,14.1181800700293
34.9011301451927,2013,858,66.6377803867757
6.31266446415706,2013,878,32.8777994860231
148.590864129549,2013,884,119.440475071722
71.9368719386834,2013,887,86.4421768342952
133.925867859737,2013,907,132.604739416091
0,2013,961,10.9216422762795
214.579262992772,2013,962,129.070565131692
113.427690940476,2013,984,114.445103083497
37.4607055746612,2013,994,102.702510606431
174.661742553553,2013,1007,123.794453629381
211.714052286087,2013,1035,165.204373380932
0,2013,1048,5.85535260957514
104.251975713591,2013,1075,177.323446538432
239.431769768108,2013,1092,177.251271717802
0,2013,1106,16.8596323726943
23.8961316614643,2013,1154,6.88928654632784
173.772203605016,2013,1158,165.8070354277
121.913655259088,2013,1159,102.846285352328
92.9065298520664,2013,1204,109.403036627604
0,2013,1214,10.4581505923987
118.674245130405,2013,1289,125.70038787746
0,2013,1350,0.618873997404645
38.4453866774189,2013,1370,24.1221275848806
0,2013,1375,9.74571303005445
0,2013,1385,13.6653884603175
183.923303183441,2013,1389,153.763038230261
157.512413723872,2013,1393,173.712117039105
86.5442994993888,2013,1438,80.6171764466762
60.7074011378184,2013,1497,93.8137590107031
73.7819461596674,2013,1498,101.075131706147
138.802161491841,2013,1505,120.250791636064
0,2013,1520,1.21954043519172
0,2013,1540,11.9082940419938
293.73605162084,2013,1588,163.468052346768
67.8791735719962,2013,1591,147.016856865781
0,2013,1608,24.0863571278062
112.65701208634,2013,1610,151.474543481871
131.050928666668,2013,1621,123.166809972249
66.7148707141908,2013,1625,113.821037421574
147.828378854074,2013,1653,170.029307862726
0,2013,1665,2.4988917831711
0,2013,1675,17.7719941459563
0,2013,1678,96.1890908246095
10.0406814259186,2013,1708,104.04365580714
124.974157808558,2013,1715,107.465471004769
136.604458809616,2013,1718,171.193647226362
0,2013,1720,16.5634841875271
93.2152289481286,2013,1735,99.0602109460206
63.8038767409655,2013,1763,37.1414673850347
0,2013,1832,9.15615569681269
55.9545444110931,2013,1837,143.078137207094
1.63548193747797,2013,1883,67.6018440848905
172.933298911629,2013,1899,118.049527686691
0,2013,1901,83.0422828969691
103.355251067604,2013,1915,131.731323052477
100.177943059519,2013,1930,149.723605851436
0,2013,1931,6.36319757764449
7.51602820787852,2013,1932,19.925734320477
0,2013,1982,6.32808982028836
189.517279495009,2013,1991,187.393677306804
137.006422482411,2013,1992,143.604136193308
0,2013,2010,6.26096761896684
0,2013,2075,1.49986537451631
0,2013,2077,12.0108903001329
96.4041747164152,2013,2092,92.9245980133129
86.2484994467384,2013,2104,111.985438599899
122.756102764305,2013,2113,160.226245264289
0,2013,2114,11.7105345414249
204.002720431087,2013,2131,126.425262339059
0,2013,2134,5.30881864591461
0,2013,2147,21.2821198626722
142.516381923133,2013,2152,135.02680678703
0,2013,2201,55.881429192221
194.182749712044,2013,2202,156.686784101186
152.002673216488,2013,2213,175.147107368692
14.5168877755361,2013,2218,50.1196492224437
41.8232970428451,2013,2227,99.468519166943
108.399559082288,2013,2239,90.4949351563596
287.232444125806,2013,2249,178.091545493472
56.8615254536175,2013,2265,122.255302729854
132.579502379961,2013,2293,126.541183962259
74.7215593926239,2013,2294,139.37505669127
61.1804399063504,2013,2295,73.4048127212873
0,2013,2297,5.17553755048241
0,2013,2300,20.5921138075025
19.6835546629045,2013,2318,7.54402022034502
0,2013,2327,0.750692850502519
327.16018305278,2013,2342,165.787098866904
12.8948499315193,2013,2354,93.4263936087168
97.6120716355419,2013,2363,122.80600494578
242.737672738066,2013,2367,173.101103555098
142.581364247814,2013,2369,191.767953737978
111.012225519093,2013,2372,161.363707601701
178.725436254932,2013,2385,115.811735112161
162.452081093638,2013,2391,140.905329046704
124.908408154804,2013,2418,192.678294734288
1.11647188968277,2013,2439,66.8392369086749
0,2013,2459,13.0194693927479
219.123840590827,2013,2467,170.199770886708
0,2013,2549,16.8325767058398
56.6739917848634,2013,2550,72.3723921615323
8.34834146782938,2013,2565,42.9909822458233
129.580807436273,2013,2577,17.765059215248
65.3710478951883,2013,2605,47.0141253974732
54.091998787641,2013,2647,54.4146348532665
0,2013,2657,5.92390247258355
66.2876434549172,2013,2673,114.274801741123
0,2013,2680,7.86635573634917
0,2013,2685,17.6952147535459
0,2013,2694,1.54980095186419
33.8681141640612,2013,2710,13.5008220769738
0,2013,2716,7.04447452258234
181.007900223173,2013,2742,163.02088647469
262.624454853824,2013,2761,175.560625298566
151.647624609993,2013,2764,170.072447505113
0,2013,2768,22.0802963170251
0,2013,2770,52.212460809963
0,2013,2780,9.56054167281032
207.293375564533,2013,2793,167.356456073057
0,2013,2852,29.1276241744207
130.926520136255,2013,2858,145.226022109906
0,2013,2860,17.4208715319351
120.661253058081,2013,2866,144.971507269026
62.2687951621914,2013,2896,123.807774418352
0,2013,2898,11.6958906038255
6.98856661957683,2013,2901,98.5133702189579
74.4748102558934,2013,2925,124.053176618097
0,2013,2929,9.01306260507359
0,2013,2969,5.9524594843282
120.088268762039,2013,2972,148.050831840455
