1,2,3,4,5
41.8550756510357,0,10000,1250,0
42.0463851341727,100,10000,1250,0
41.3847256049477,200,10000,1250,0
42.2951393786979,300,10000,1250,0
41.0981459397627,400,10000,1250,0
41.2435837998666,500,10000,1250,0
41.0913201502271,600,10000,1250,0
41.1797658759052,700,10000,1250,0
41.2667310182343,800,10000,1250,0
41.2893793222726,900,10000,1250,0
41.7291004882362,1000,10000,1250,0
42.6723363547111,0,11000,1250,0
41.8957474270892,100,11000,1250,0
41.2096787791611,200,11000,1250,0
41.7945037100222,300,11000,1250,0
41.4482380890378,400,11000,1250,0
41.9415824885151,500,11000,1250,0
41.3146704108937,600,11000,1250,0
41.7369569844858,700,11000,1250,0
41.2677552054057,800,11000,1250,0
41.3556150095343,900,11000,1250,0
40.7183313055459,1000,11000,1250,0
42.7414440767483,0,12000,1250,0
42.4500561193232,100,12000,1250,0
42.0735553941269,200,12000,1250,0
42.0562129983292,300,12000,1250,0
41.4706111970536,400,12000,1250,0
41.7984868639704,500,12000,1250,0
41.5871926195546,600,12000,1250,0
41.5508287804463,700,12000,1250,0
41.390845679578,800,12000,1250,0
41.6472940596026,900,12000,1250,0
41.2147365162385,1000,12000,1250,0
42.6891620748875,0,13000,1250,0
42.3354989081077,100,13000,1250,0
42.1104579432803,200,13000,1250,0
42.1764986179618,300,13000,1250,0
42.1184198085997,400,13000,1250,0
41.5291786234665,500,13000,1250,0
41.0350263460154,600,13000,1250,0
41.3281656754861,700,13000,1250,0
41.317530820583,800,13000,1250,0
41.247599207503,900,13000,1250,0
40.8994403583024,1000,13000,1250,0
42.560632469788,0,14000,1250,0
42.4724997014889,100,14000,1250,0
41.4382032439147,200,14000,1250,0
41.9214913733431,300,14000,1250,0
40.9955218151341,400,14000,1250,0
41.9684752383721,500,14000,1250,0
41.3594172158105,600,14000,1250,0
41.3567491398754,700,14000,1250,0
41.0416245476391,800,14000,1250,0
41.4721026837668,900,14000,1250,0
41.1632836668145,1000,14000,1250,0
43.4690042134928,0,15000,1250,0
42.2471383749579,100,15000,1250,0
42.2003844689276,200,15000,1250,0
42.5176866390692,300,15000,1250,0
42.2107616141683,400,15000,1250,0
41.3910686502726,500,15000,1250,0
41.6212578945413,600,15000,1250,0
