PLOT,MODEL,FIA
6,168.030472555585,156.301331832937
7,20.331253011807,40.9035709991606
10,0.0515762371417393,0
12,86.6534027655704,0
31,180.869269327156,117.549550657121
32,0.181365342015852,0
39,163.03891985685,180.303842386292
41,164.713982290515,257.392100378777
41,164.713982290515,251.804356101327
46,16.6638648300159,84.1811712914583
48,1.38837091561769,0
49,50.7109903062523,77.2168879750131
57,153.645657312822,140.42533743576
58,2.52543951036861,0
60,217.390662029813,250.011878442708
61,0,0
67,113.01525619822,184.735840624419
72,6.54892120722745,13.9443805702933
75,50.2544805540732,138.42709583617
76,76.2598259685033,93.141269466202
77,16.4850114834108,40.8108434667279
80,18.2943800348394,0
87,10.8871713051019,0
90,3.62746040400757,0
94,65.4433484331709,0
105,34.0267134347574,83.2453234151222
129,98.5999501298088,48.7665260815249
130,103.289260596646,99.0870546920505
147,99.8509491083637,57.1511209879454
152,0,0
159,115.793085955953,121.798322585911
164,28.0365617439384,0
164,28.0365617439384,0
169,98.4358517446459,134.71011923514
180,122.680568792179,179.502115254532
186,156.097502073768,229.279949659744
188,0.0878188135839614,0
191,0,0
192,0.961586541871397,0
194,6.75974136014144,23.5495270946633
197,8.53886266738159,0
200,146.796951234458,136.101868401302
203,120.939929273144,133.277989946181
206,0,0
225,15.8645612577626,0
232,114.179211439575,291.167730830818
240,61.7033912982768,54.4438402417391
241,84.4026977673005,89.4634143792833
242,37.9924823760622,46.0006505563341
243,0,0
250,137.580238233731,101.801971681236
251,97.862573887691,72.2634146871983
259,0,0
270,81.6838591202261,73.2967750745351
290,0,0
292,7.70027436469388,0
294,0.0298974113587381,0
302,0,0.425116583244187
305,159.222939649515,82.2506729500669
313,0,0
315,29.4653408888399,0
317,37.3637468336598,9.29836926193856
324,71.8412993634413,122.536168337563
326,91.7694037094914,73.1370260814514
329,,252.169941385396
332,88.1206000143716,82.2887743368122
334,178.073387662005,299.013931421717
338,71.1550500273459,80.8066600311979
346,84.3802378657295,172.154734926814
353,3.47622598650553,0
354,69.9882113893506,77.9623156405961
367,0,0
387,205.138307652871,105.711796857913
388,91.3565086459997,76.9439395985169
392,48.9164247509073,200.508262345172
395,124.585311242801,101.240067083595
397,214.138241218275,192.739809348657
